id,host_id,neighbourhood_group,neighbourhood,room_type,price,minimum_nights,number_of_reviews,last_review
963300203673032613,514336590,Brooklyn,Prospect-Lefferts Gardens,Private room,89.0,30,0,
21755710,15811194,Brooklyn,Brownsville,Private room,77.0,3,108,2024-08-03
963372648946817841,514336590,Brooklyn,Prospect-Lefferts Gardens,Private room,96.0,30,1,2023-12-17
31082686,105310740,Brooklyn,Bedford-Stuyvesant,Entire home/apt,83.0,30,17,2024-07-31
9181806,47232411,Brooklyn,Bedford-Stuyvesant,Entire home/apt,150.0,30,188,2023-12-02
726626309889942397,268347722,Manhattan,Harlem,Private room,60.0,30,5,2024-04-07
51450816,61391963,Manhattan,Upper East Side,Entire home/apt,133.0,30,4,2022-12-23
14762512,3294438,Brooklyn,Bedford-Stuyvesant,Shared room,40.0,30,13,2023-10-01
32354513,242924411,Brooklyn,Bedford-Stuyvesant,Entire home/apt,213.0,1,260,2024-08-19
2155610,9917136,Brooklyn,Crown Heights,Private room,55.0,31,2,2023-09-10
619523534073453300,447895924,Brooklyn,Crown Heights,Entire home/apt,599.0,30,3,2022-08-04
1214546468346240107,10301333,Manhattan,Financial District,Private room,130.0,30,0,
999369329537073695,195280273,Brooklyn,Sunset Park,Private room,90.0,3,22,2024-08-28
53005830,48075081,Brooklyn,Bedford-Stuyvesant,Entire home/apt,395.0,30,18,2023-10-11
50373477,406886697,Queens,Astoria,Entire home/apt,220.0,30,34,2023-11-26
42154630,334500807,Brooklyn,Bedford-Stuyvesant,Entire home/apt,180.0,30,107,2023-12-02
52075215,421638103,Manhattan,East Harlem,Entire home/apt,257.0,30,85,2023-08-21
4654374,24092402,Manhattan,East Harlem,Entire home/apt,703.0,30,3,2020-01-05
15522627,90771408,Brooklyn,Gowanus,Private room,82.0,3,78,2024-08-24
12940,50148,Brooklyn,Bedford-Stuyvesant,Entire home/apt,123.0,30,77,2024-07-01
1068910052601278603,555777966,Queens,Long Island City,Entire home/apt,680.0,30,0,
863086394921757756,75395247,Brooklyn,Bedford-Stuyvesant,Entire home/apt,95.0,30,6,2024-08-08
6259593,3562322,Brooklyn,Bedford-Stuyvesant,Private room,32.0,30,72,2024-07-03
18087564,5735174,Brooklyn,Greenpoint,Entire home/apt,150.0,30,30,2024-07-31
1263964,6881792,Manhattan,Harlem,Private room,75.0,30,291,2023-11-18
1021671515623364753,447283837,Brooklyn,East Flatbush,Entire home/apt,275.0,2,22,2024-08-18
843639399638398264,6298158,Brooklyn,Williamsburg,Private room,120.0,30,27,2023-11-13
53774579,32757167,Brooklyn,Sunset Park,Private room,67.0,30,27,2024-04-30
45527090,368570321,Brooklyn,South Slope,Private room,205.0,2,213,2024-09-02
919742181611245740,447283837,Brooklyn,East Flatbush,Entire home/apt,148.0,1,35,2024-08-29
39741956,305387117,Queens,Long Island City,Entire home/apt,279.0,7,8,2024-04-15
963125508354266222,514336590,Brooklyn,Prospect-Lefferts Gardens,Private room,96.0,30,2,2024-08-01
38924473,23772724,Brooklyn,Downtown Brooklyn,Entire home/apt,200.0,30,0,
52053898,16707319,Brooklyn,Crown Heights,Private room,65.0,30,15,2023-08-08
32857674,242924411,Brooklyn,Bedford-Stuyvesant,Entire home/apt,190.0,1,290,2024-08-21
32858018,242924411,Brooklyn,Bedford-Stuyvesant,Entire home/apt,204.0,1,248,2024-08-18
1051266669019573479,448326434,Manhattan,Upper East Side,Entire home/apt,202.0,30,0,
601450993668834041,14438618,Brooklyn,Bedford-Stuyvesant,Entire home/apt,202.0,30,21,2023-05-28
892876907569965980,364579215,Brooklyn,Park Slope,Private room,143.0,30,15,2023-11-20
49639437,22541573,Manhattan,Midtown,Entire home/apt,340.0,60,0,
693567361025762253,14168640,Brooklyn,Bedford-Stuyvesant,Private room,297.0,30,49,2024-01-30
22231811,17430718,Manhattan,Harlem,Entire home/apt,245.0,3,54,2024-07-28
23074259,94214493,Brooklyn,East Flatbush,Private room,80.0,30,13,2024-05-04
33161761,203176937,Manhattan,West Village,Entire home/apt,250.0,30,26,2024-07-31
843637443120669075,6298158,Brooklyn,Williamsburg,Private room,110.0,30,29,2023-10-24
1233462719021008458,559252210,Manhattan,Harlem,Entire home/apt,183.0,30,0,
552639,2518984,Manhattan,Harlem,Entire home/apt,257.0,3,232,2024-09-03
566548245549224932,14813763,Brooklyn,Carroll Gardens,Private room,275.0,30,87,2023-12-05
1059787657125734957,9736367,Brooklyn,Bedford-Stuyvesant,Entire home/apt,159.0,30,1,2024-04-25
1125700027098239450,507394860,Brooklyn,East Flatbush,Private room,50.0,31,0,
1101653706097706924,291033670,Brooklyn,Bedford-Stuyvesant,Private room,61.0,30,0,
20678724,48980919,Brooklyn,Bedford-Stuyvesant,Private room,265.0,5,251,2024-08-18
988402769062836337,533234561,Manhattan,Hell's Kitchen,Entire home/apt,173.0,30,0,
24572398,10679309,Brooklyn,DUMBO,Entire home/apt,330.0,30,29,2024-08-30
1652236,3562322,Brooklyn,Bedford-Stuyvesant,Private room,38.0,30,115,2024-08-16
1056564961383687067,238688543,Brooklyn,Bushwick,Entire home/apt,195.0,1,3,2024-08-19
40912721,7022470,Brooklyn,Park Slope,Entire home/apt,195.0,30,3,2023-08-07
40861640,36793116,Manhattan,Midtown,Entire home/apt,307.0,30,10,2023-07-27
45001256,41430560,Manhattan,Upper East Side,Entire home/apt,240.0,30,18,2024-09-04
27658203,195517789,Brooklyn,Sunset Park,Private room,94.0,2,203,2024-08-22
757363398086716298,42946393,Brooklyn,Williamsburg,Private room,132.0,30,4,2023-01-02
51640258,94214493,Brooklyn,East Flatbush,Private room,65.0,30,9,2024-05-15
542600943912847794,5202490,Queens,Long Island City,Entire home/apt,110.0,30,3,2023-06-28
1038449927951605913,3851843,Queens,Long Island City,Entire home/apt,105.0,30,0,
613649143663298138,15672224,Manhattan,Upper West Side,Entire home/apt,189.0,30,3,2022-11-01
657148208532648393,466035025,Manhattan,East Village,Private room,80.0,30,1,2022-08-26
1116737278608222921,271581236,Manhattan,Upper East Side,Entire home/apt,200.0,30,0,
1207253678620673118,397558750,Manhattan,Financial District,Private room,130.0,30,0,
1122491867192041810,61391963,Manhattan,Upper East Side,Entire home/apt,46.0,30,2,2024-08-31
702131564723235352,459922025,Manhattan,Harlem,Entire home/apt,395.0,30,23,2024-06-23
30394274,107434423,Manhattan,West Village,Entire home/apt,581.0,31,0,
1009920147263075999,107434423,Manhattan,West Village,Entire home/apt,387.0,31,1,2023-12-24
48764611,37821056,Manhattan,Harlem,Private room,52.0,30,5,2024-07-06
42386569,50618720,Brooklyn,East Flatbush,Entire home/apt,195.0,30,26,2023-09-16
11422056,59996301,Queens,Woodside,Entire home/apt,145.0,30,108,2022-11-10
1158672341831924192,67491414,Brooklyn,Crown Heights,Private room,60.0,30,0,
18652544,120762452,Manhattan,Murray Hill,Hotel room,200.0,60,1,2019-11-04
596361949342437513,342060071,Queens,Flushing,Entire home/apt,,30,2,2022-08-25
30387064,107434423,Manhattan,West Village,Entire home/apt,585.0,31,0,
903558683099075132,3665009,Manhattan,Harlem,Entire home/apt,115.0,30,2,2023-11-04
1661734,3562322,Brooklyn,Bedford-Stuyvesant,Private room,39.0,30,45,2023-08-15
1109650004740223219,468947930,Brooklyn,Cypress Hills,Private room,75.0,30,0,
21173134,142352236,Manhattan,Hell's Kitchen,Entire home/apt,200.0,30,66,2024-03-23
2028291,10243387,Queens,Long Island City,Entire home/apt,100.0,30,91,2023-12-03
255601,1343630,Brooklyn,Bedford-Stuyvesant,Entire home/apt,241.0,4,273,2024-08-27
1002808727964654800,356471612,Brooklyn,South Slope,Private room,62.0,30,1,2024-07-27
690814821959585555,41100295,Brooklyn,Williamsburg,Private room,149.0,30,10,2023-08-21
893178433399302391,107434423,Manhattan,West Village,Entire home/apt,408.0,31,0,
8651132,9917136,Brooklyn,Crown Heights,Private room,50.0,30,29,2024-07-31
479285,2374190,Queens,Sunnyside,Entire home/apt,125.0,30,4,2022-11-07
26026904,195517789,Brooklyn,Sunset Park,Private room,95.0,2,185,2024-08-20
49968296,327005,Brooklyn,Park Slope,Entire home/apt,1000.0,30,1,2021-07-20
955642047468711045,107434423,Manhattan,East Village,Entire home/apt,379.0,31,1,2023-12-25
839962384749987633,503493016,Queens,Ridgewood,Private room,90.0,30,7,2023-05-29
763910718510137075,66352142,Brooklyn,Crown Heights,Entire home/apt,282.0,30,3,2023-05-21
771740206890969653,488754512,Queens,Woodside,Entire home/apt,103.0,30,7,2024-08-23
11940117,27488921,Manhattan,Harlem,Entire home/apt,148.0,30,61,2023-07-21
48168657,12699062,Manhattan,Upper East Side,Entire home/apt,297.0,30,20,2024-08-25
773140921879712069,3856750,Manhattan,East Village,Entire home/apt,,30,2,2023-04-10
44086561,352444781,Brooklyn,Brownsville,Private room,71.0,30,68,2023-05-19
709249784866449499,289997302,Brooklyn,East Flatbush,Private room,114.0,3,38,2024-08-11
796973696740712786,489756011,Manhattan,Midtown,Entire home/apt,161.0,30,3,2024-02-11
921839163421133106,305387117,Queens,Long Island City,Entire home/apt,275.0,14,6,2024-07-19
1085497818059473797,502294991,Manhattan,Upper West Side,Shared room,80.0,1,80,2024-08-17
13371699,2455767,Brooklyn,Windsor Terrace,Entire home/apt,180.0,30,159,2024-04-08
929211353348584512,391579286,Brooklyn,Crown Heights,Entire home/apt,348.0,2,28,2024-08-06
815148194323194736,479109639,Brooklyn,Crown Heights,Entire home/apt,130.0,60,2,2023-06-27
1163092620480443032,518583595,Manhattan,Chelsea,Entire home/apt,419.0,30,0,
23074722,94214493,Brooklyn,East Flatbush,Private room,70.0,30,11,2023-12-16
4644669,24046558,Manhattan,Upper East Side,Entire home/apt,350.0,30,102,2023-11-22
1001759466923816441,305387117,Queens,Long Island City,Entire home/apt,406.0,7,4,2024-06-25
51359407,381698920,Manhattan,Hell's Kitchen,Private room,214.0,2,18,2024-06-06
42402259,94214493,Brooklyn,East Flatbush,Private room,80.0,30,12,2024-07-31
1173919424901227504,240298366,Brooklyn,Crown Heights,Entire home/apt,294.0,30,0,
837503,265525,Brooklyn,Bedford-Stuyvesant,Entire home/apt,111.0,30,300,2024-08-16
5681182,13745141,Brooklyn,Williamsburg,Private room,90.0,30,0,
24535218,107434423,Manhattan,Tribeca,Entire home/apt,434.0,31,1,2021-05-29
1087144595237396840,515679038,Brooklyn,East Flatbush,Private room,150.0,2,14,2024-08-11
1010215062154388163,388071431,Brooklyn,East Flatbush,Private room,150.0,2,0,
910398813625814816,305387117,Queens,Long Island City,Entire home/apt,440.0,7,21,2024-07-23
41786442,330157466,Brooklyn,Bedford-Stuyvesant,Entire home/apt,240.0,30,75,2023-11-06
52085221,381698920,Manhattan,Hell's Kitchen,Private room,214.0,2,13,2024-06-12
953391145939365107,17505956,Manhattan,Harlem,Entire home/apt,340.0,3,34,2024-08-24
26747248,3830753,Brooklyn,Red Hook,Private room,160.0,4,98,2024-08-25
699862597447371397,468078621,Brooklyn,Greenpoint,Entire home/apt,300.0,30,5,2022-10-23
623763533917886225,16066061,Brooklyn,Crown Heights,Private room,47.0,30,7,2024-03-02
812960706146211564,19990362,Brooklyn,Navy Yard,Private room,69.0,30,6,2024-08-17
928203844965377896,485173366,Queens,Woodside,Entire home/apt,160.0,30,0,
45903786,16211060,Manhattan,Harlem,Entire home/apt,122.0,30,59,2024-02-03
838312418978975100,466783694,Manhattan,Upper East Side,Entire home/apt,450.0,30,0,
830964462652326315,107434423,Manhattan,West Village,Entire home/apt,950.0,31,1,2023-10-15
1072089744850191566,555609789,Manhattan,Lower East Side,Entire home/apt,550.0,3,11,2024-07-08
795748488553923191,365526556,Brooklyn,Bedford-Stuyvesant,Private room,194.0,2,24,2024-08-25
4605840,23788242,Brooklyn,Bedford-Stuyvesant,Private room,75.0,30,101,2023-11-17
1070404237930007307,502141479,Brooklyn,Bedford-Stuyvesant,Private room,46.0,30,0,
1140603185018434730,573476316,Brooklyn,Crown Heights,Entire home/apt,579.0,3,11,2024-08-18
4532913,20164579,Brooklyn,Williamsburg,Private room,71.0,30,425,2023-12-04
53981147,200239515,Manhattan,Inwood,Private room,,30,1,2023-08-01
53408117,107434423,Queens,Long Island City,Entire home/apt,347.0,31,1,2022-11-25
1126873772309611321,61391963,Manhattan,Upper East Side,Entire home/apt,50.0,30,0,
7843390,1810885,Manhattan,East Village,Private room,120.0,30,79,2023-11-06
779232680825776409,31534322,Queens,Long Island City,Private room,130.0,30,4,2024-07-23
601344149069397462,453478436,Brooklyn,Crown Heights,Private room,196.0,30,93,2023-11-07
1029872184146517556,490227353,Manhattan,East Harlem,Entire home/apt,360.0,3,24,2024-07-30
53294328,20607449,Brooklyn,Bedford-Stuyvesant,Entire home/apt,200.0,30,21,2023-12-12
45985395,5166944,Brooklyn,Williamsburg,Private room,159.0,30,70,2024-01-15
579736738715900510,116052575,Manhattan,East Harlem,Private room,85.0,30,3,2023-12-27
1142713791029870240,556464339,Brooklyn,Bedford-Stuyvesant,Private room,150.0,5,9,2024-08-10
541395567949290296,440316434,Brooklyn,Bushwick,Private room,44.0,30,1,2024-04-26
18506359,123953239,Brooklyn,Williamsburg,Entire home/apt,232.0,30,50,2023-11-22
1086512748640361465,240298366,Brooklyn,Crown Heights,Entire home/apt,200.0,30,0,
990723330952862828,391579286,Brooklyn,Crown Heights,Entire home/apt,308.0,3,22,2024-08-19
748814884505945482,58387459,Manhattan,SoHo,Entire home/apt,,30,0,
674740154613880800,10463666,Brooklyn,Greenpoint,Entire home/apt,,30,3,2022-08-28
708808138924351782,478160947,Manhattan,East Harlem,Private room,136.0,5,137,2024-08-26
7594252,13283118,Brooklyn,South Slope,Entire home/apt,200.0,60,3,2023-08-14
1039171553374045533,329941458,Brooklyn,Sunset Park,Private room,580.0,3,27,2024-08-31
30201476,107434423,Manhattan,Tribeca,Entire home/apt,421.0,31,2,2021-08-29
46695446,9864136,Brooklyn,Bushwick,Private room,50.0,30,3,2023-04-01
981815080890800092,381698920,Manhattan,Hell's Kitchen,Private room,186.0,2,17,2024-08-18
1474752,2259113,Brooklyn,Williamsburg,Private room,110.0,30,27,2019-10-28
44377502,3562322,Brooklyn,Bedford-Stuyvesant,Entire home/apt,78.0,30,72,2023-12-14
13959891,61391963,Manhattan,Upper East Side,Entire home/apt,46.0,30,16,2023-07-09
32857378,242924411,Brooklyn,Bedford-Stuyvesant,Entire home/apt,190.0,1,225,2024-08-14
2267177,11576459,Brooklyn,Sunset Park,Private room,101.0,2,325,2024-08-19
51321191,319061072,Brooklyn,Bushwick,Entire home/apt,205.0,30,12,2024-03-31
42746488,340446368,Manhattan,Gramercy,Entire home/apt,134.0,2,229,2024-08-20
966053705670125310,397598833,Brooklyn,Bedford-Stuyvesant,Private room,65.0,30,5,2024-06-08
25232008,47100454,Manhattan,Midtown,Entire home/apt,150.0,60,1,2019-08-30
737539992975231292,114178652,Brooklyn,Bedford-Stuyvesant,Entire home/apt,100.0,30,1,2024-08-10
571977872591258118,25372297,Brooklyn,Gowanus,Entire home/apt,464.0,30,0,
817583298347048306,19303369,Queens,Flushing,Private room,,30,2,2023-12-31
647871864272863224,358288637,Manhattan,Chelsea,Entire home/apt,350.0,30,68,2023-11-30
11438189,4422962,Brooklyn,Bedford-Stuyvesant,Entire home/apt,135.0,31,215,2024-06-01
781311253609661076,94214493,Brooklyn,East Flatbush,Private room,65.0,30,3,2024-01-01
693619339991699741,292434893,Manhattan,East Harlem,Shared room,75.0,30,3,2023-01-04
784078789798672305,314168672,Queens,Long Island City,Entire home/apt,185.0,30,5,2023-05-09
992974980287590415,539053684,Manhattan,Upper East Side,Entire home/apt,1385.0,2,42,2024-08-20
1152577703895679576,240298366,Brooklyn,Crown Heights,Entire home/apt,200.0,30,0,
